Ticker,CQ_EPS,NQ_EPS,CY_EPS,NY_EPS,CQ_Rev,NQ_Rev,CY_Rev,NY_Rev,Year,Annual EPS,Annual Revenue,Date,Quarter EPS,Quarter Revenue,Previous Quarter EPS2,Previous Quarter EPS,Corrent Quarter EPS,Next Quarter EPS,Previous Annual EPS2,Previous Annual EPS,Corrent Annual EPS,Next Annual EPS,Previous Quarter Revenue2,Previous Quarter Revenue,Corrent Quarter Revenue,Next Quarter Revenue,Previous Annual Revenue2,Previous Annual Revenue,Corrent Annual Revenue,Next Annual Revenue
NVDA,,,,,,,,,2021,1.725,,,,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2023/10/31,3.77,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2023/07/31,2.5,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2023/04/30,0.88,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2023/01/31,0.65,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2022/10/31,0.34,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2022/07/31,0.32,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2022/04/30,1.18,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2022/01/31,1.14,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2021/10/31,1.01,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,2023,,26974000000.0,,,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,2022,,26914000000.0,,,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,2021,,16675000000.0,,,,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2023/10/31,,18120000000.0,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2023/07/31,,13507000000.0,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2023/04/30,,7192000000.0,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2023/01/31,,6051000000.0,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2022/10/31,,5931000000.0,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2022/07/31,,6704000000.0,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
NVDA,,,,,,,,,,,,2022/04/30,,8288000000.0,681.2,1008.8,561.5,427.3,123.2,-54.8,562.1,78.0,101.5,205.5,216.3,186.0,61.4,0.2,104.5,64.0
